station_id,latitude,longitude
LEZL,37.418,-5.893
LBPG,42.289,24.714
LRAR,46.176,21.264
UBBZ,39.094,46.734
MSLP,13.438,-89.056
MHRO,16.316,-86.523
LRBM,47.658,23.47
MHLM,15.442,-87.934
MHTG,14.06,-87.216
LRCL,46.783,23.676
LROD,47.036,21.896
LRSM,47.703,22.886
LRTM,46.468,24.421
LRBC,46.522,26.91
LRCV,44.31,23.867
LRIA,47.164,27.627
LRSV,47.686,26.354
LRTC,45.065,28.716
LCLK,34.874,33.617
LRBV,45.706,25.524
LESA,40.96,-5.498
LEVD,41.706,-4.852
LEDA,41.734,0.538
LEJR,36.751,-6.056
LEVT,42.872,-2.733
LEZG,41.661,-1.004
LEAG,36.129,-5.441
LEBG,42.356,-3.622
LECH,40.211,0.067
LETL,40.404,-1.218
GCFV,28.445,-13.863
GCLA,28.633,-17.755
GCLP,27.923,-15.389
GCRR,28.952,-13.6
GCTS,28.047,-16.561
LCPH,34.715,32.479
GCXO,28.483,-16.342
UHBB,50.425,127.412
UHHH,48.527,135.184
UHPP,53.175,158.444
NFNA,-18.043,178.559
SBOI,3.861,-51.796
UHSS,46.887,142.719
UWUU,54.57,55.87
USNN,60.959,76.497
USSS,56.745,60.792
UUBW,55.553,38.15
UUOL,52.702,39.534
LJPZ,45.473,13.615
UUBC,54.552,36.37
UUOB,50.644,36.59
UUOK,51.751,36.297
UWPS,54.116,45.203
LEPP,42.777,-1.65
LEXJ,43.429,-3.831
LELC,37.775,-0.812
LELN,42.588,-5.651
GEML,35.278,-2.956
LEMI,37.803,-1.125
ULMM,68.781,32.749
KPRN,31.8467,-86.6141
ULOO,57.79,28.397
ULPB,61.885,34.155
CYYE,58.839,-122.59
NZQN,-45.021,168.739
UUOO,51.814,39.228
UEEE,62.093,129.774
USDA,71.216,72.05
LJCE,45.899,15.523
GOOG,15.4,-15.084
GOSP,16.677,-14.964
GOOD,14.65,-16.23
URMG,43.387,45.702
VOMM,12.994,80.18
URMN,43.514,43.646
URMO,43.204,44.608
URRP,47.494,39.925
FAUT,-31.546,28.673
FYGF,-19.599,18.116
FYWB,-22.98,14.645
RKSM,37.446,127.114
NSFA,-13.829,-171.993
NWWW,-22.015,166.213
LEAM,36.846,-2.357
FNUB,-14.925,13.575
LEAS,43.567,-6.044
LEBB,43.298,-2.906
LECO,43.307,-8.372
LEGE,41.911,2.763
LEGR,37.19,-3.789
LEMH,39.855,4.216
LERS,41.15,1.179
LESO,43.361,-1.787
VOSR,16.001,73.534
VOTV,8.484,76.919
VEMN,27.481,95.014
VAHS,22.3772,71.0374
VABB,19.1,72.859
VOCI,10.152,76.402
FQTT,-16.108,33.64
VOMD,9.835,78.093
VABO,22.333,73.225
VASU,21.114,72.742
VAUD,24.618,73.896
VAOZ,20.119,73.914
VOBL,13.205,77.704
VERP,21.182,81.738
VOHY,17.453,78.468
VAAU,19.863,75.398
VEBS,20.244,85.818
VEKI,26.776,83.889
VETJ,27.941,96.134
NZAA,-37.008,174.792
NZWN,-41.331,174.806
NZCH,-43.489,172.528
LPFR,37.014,-7.966
LPMA,32.698,-16.774
LPPR,41.235,-8.684
LPPS,33.073,-16.35
LPPT,38.781,-9.136
UUDL,57.561,40.157
UUEE,55.973,37.415
MROC,9.991,-84.218
USPP,57.914,56.021
UWKS,56.09,47.347
UWSG,51.713,46.171
NZOH,-40.196,175.381
NZDN,-45.928,170.198
USCM,53.393,58.756
UNNT,55.013,82.651
UNOO,54.964,73.32
UNTT,56.381,85.207
USTR,57.19,65.324
USHH,61.029,69.086
USDD,66.591,66.611
RKSI,37.469,126.451
RKSS,37.558,126.791
RKPC,33.511,126.493
RKPK,35.179,128.938
RKTU,36.717,127.499
RKTN,35.894,128.659
RKJB,34.991,126.383
RKNY,38.061,128.669
LPAZ,36.971,-25.171
LPPD,37.741,-25.698
LPMR,39.831,-8.887
LPMT,38.704,-9.036
UMIO,54.44,30.297
NIUE,-19.079,-169.926
LPLA,38.762,-27.091
LPBJ,38.073,-7.931
UGKO,42.177,42.483
UGSB,41.61,41.6
UGTB,41.669,44.955
UGAM,42.527,43.135
UGMS,43.055,42.75
MPDA,8.391,-82.434
NGTA,1.381,173.147
SBRP,-21.134,-47.774
FIMP,-20.434,57.684
FIMR,-19.755,63.36
MDPP,19.759,-70.571
MDST,19.407,-70.614
MDPC,18.566,-68.356
MDJB,18.577,-69.984
MDSD,18.433,-69.667
MDLR,18.451,-68.921
OPFA,31.365,72.995
TNCC,12.189,-68.96
SAAP,-31.79,-60.483
KJSL,26.2367,-91.2567
OSDI,33.411,36.516
OSAP,36.183,37.218
K3J1,32.4969,-80.9947
YBHM,-20.357,148.949
YBMA,-20.678,139.488
FACT,-33.965,18.602
FAGG,-34.006,22.379
FAKN,-25.383,31.106
FALE,-29.602,31.13
YMAV,-38.029,144.478
YBWW,-27.558,151.793
YBRM,-17.948,122.235
YBLN,-33.688,115.402
YPCC,-12.189,96.834
YCFS,-30.317,153.119
YPKG,-30.785,121.453
YMLT,-41.544,147.213
YPLM,-22.241,114.097
YLHI,-31.538,159.077
YSNF,-29.039,167.941
YPPD,-20.372,118.632
YBSU,-26.603,153.091
YSDU,-32.221,148.575
YGEL,-28.805,114.699
YGLA,-23.87,151.221
YHID,-10.584,142.29
YPJT,-32.101,115.879
YSTW,-31.084,150.847
YPWR,-31.156,136.805
YFRT,-30.848,128.114
AGGH,-9.43,160.047
UTDK,37.988,69.805
UTDT,37.866,68.865
UAAA,43.35,77.027
VEPT,25.591,85.088
VGEG,22.249,91.814
UCFM,43.061,74.478
UCFO,40.61,72.791
UCFL,42.585,76.702
UASS,50.352,80.228
UASK,50.027,82.5
UAIT,43.311,68.55
UASP,52.202,77.078
UDYZ,40.147,44.396
UDSG,40.75,43.859
VTBD,13.913,100.607
VTBS,13.686,100.767
VTCC,18.771,98.963
VTSP,8.105,98.308
VTSS,6.933,100.393
VTBU,12.68,101.001
GECE,35.893,-5.306
WAAA,-5.062,119.554
WABB,-1.19,136.108
WIHH,-6.267,106.891
WIII,-6.125,106.659
WIDD,1.121,104.119
WIMM,3.636,98.874
WARR,-7.38,112.787
LEBA,37.842,-4.849
LEHC,42.082,-0.324
LEBT,39.58,-0.45
LELO,42.452,-2.331
LEBR,42.2,-1.43
LETU,-99.99,-99.99
LEVS,40.371,-3.785
LELL,41.521,2.105
LESB,39.599,2.703
LEGT,40.299,-3.723
LKLN,49.675,13.275
LEMO,37.175,-5.616
LERT,36.645,-6.349
LETO,40.489,-3.451
DTKA,36.98,8.877
DTTF,34.422,8.822
DTTG,33.733,9.918
DTTX,34.718,10.691
DTTZ,33.94,8.111
FAPE,-33.985,25.617
FAUP,-28.399,21.26
FAWB,-25.654,28.224
LKKB,50.123,14.538
LEAB,38.952,-1.863
VLVT,17.987,102.564
VYYY,16.906,96.137
OPKC,24.902,67.139
VDSV,10.582,103.637
VDSA,13.371,104.225
FMCZ,-12.805,45.281
VTUD,17.382,102.799
FMEE,-20.887,55.51
FMEP,-21.32,55.425
VTUI,17.195,104.119
VTUK,16.462,102.786
VTUL,17.445,101.725
VTUO,15.227,103.244
TLPL,13.743,-60.948
VTCH,19.302,97.972
VTCL,18.277,99.502
VTCN,18.807,100.787
VTCP,18.129,100.162
VTPH,12.633,99.951
VTPO,17.238,99.818
VTPP,16.792,100.274
VTPB,16.676,101.195
VTPM,16.703,98.542
VTBO,12.275,102.319
VTCT,19.961,99.881
VTUQ,14.95,102.313
MHPR,14.382,-87.621
VTUU,15.251,104.87
VTUV,16.117,103.772
VTUW,17.384,104.643
SBNT,-5.911,-35.248
WAJJ,-2.573,140.514
WAPP,-3.71,128.089
WAHS,-6.973,110.375
WILL,-5.242,105.179
WATT,-10.172,123.671
WAQQ,3.327,117.568
VIJP,26.824,75.812
VEBN,25.452,82.859
VTSB,9.133,99.152
VTSC,6.52,101.743
VTSE,10.711,99.362
VTSF,8.546,99.94
VTSM,9.548,100.062
VTSR,9.773,98.587
VTST,7.512,99.621
VTSG,8.099,98.986
VTSY,5.788,101.147
TFFJ,17.904,-62.844
WAMM,1.541,124.926
WIBB,0.461,101.445
WIDN,0.923,104.532
WIEE,-0.783,100.283
WIOO,-0.151,109.404
WIPP,-2.898,104.7
WAOO,-3.44,114.759
WALL,-1.268,116.894
WADL,-8.757,116.277
WITT,5.524,95.42
WAHI,-7.9041,110.0575
VLLB,19.897,102.161
VLLN,20.963,101.403
VLPS,15.132,105.781
VLSK,16.557,104.76
ZBAD,39.501,116.412
ZBTJ,39.124,117.346
ZBYN,37.747,112.628
ZGGG,23.392,113.307
ZSHC,30.229,120.434
ZSPD,31.146,121.8
ZSSS,31.209,121.337
ZWWW,43.907,87.474
ZYTL,38.961,121.556
ZYTX,41.639,123.485
VVCI,20.823,106.727
VVCR,11.998,109.219
VVCT,10.085,105.712
VVDN,16.044,108.199
VVNB,21.218,105.805
VVPB,16.399,107.699
VVPQ,10.169,103.995
VVTS,10.817,106.667
VVVD,21.118,107.414
UTAV,39.083,63.613
ZGKL,25.22,110.04
ZGNN,22.609,108.173
ZGOW,23.55,116.505
ZGSZ,22.639,113.803
ZLXY,34.449,108.752
ZPPP,25.107,102.934
ZSFZ,25.936,119.666
ZSNB,29.827,121.462
ZSQD,36.362,120.087
ZUGY,26.538,106.801
ZUTF,30.304,104.436
ZUUU,30.576,103.95
ZBSJ,38.281,114.697
ZWSH,39.542,76.019
SYCJ,6.499,-58.254
ZBHH,40.854,111.827
ZGHA,28.18,113.219
ZHCC,34.52,113.834
ZHHH,30.783,114.205
ZJHK,19.934,110.445
ZJSY,18.303,109.412
ZLLL,36.513,103.623
ZSNJ,31.739,118.863
ZSOF,31.99,116.965
ZUCK,29.718,106.639
ZYCC,43.993,125.682
ZYHB,45.628,126.259
ZHEC,30.3424,115.0389
RJTF,35.672,139.528
RJTI,35.637,139.839
RJTT,35.553,139.781
ROAH,26.196,127.646
BKPR,42.576,21.03
ROMD,25.847,131.264
ROMY,24.782,125.295
RORK,25.944,131.326
RORS,24.827,125.145
RORY,27.044,128.4
ROYN,24.467,122.978
RORT,24.653,124.674
RJOC,35.414,132.89
RJOH,35.493,133.239
LFBU,45.728,0.22
RJOS,34.132,134.609
RJOW,34.676,131.79
RJSA,40.733,140.689
RJSC,38.412,140.371
RJSF,37.227,140.428
RJSI,39.429,141.135
RJSK,39.616,140.219
RJSM,40.705,141.372
RJSN,37.956,139.121
RJSR,40.192,140.372
RJSS,38.14,140.917
RJSY,38.812,139.787
RJFE,32.666,128.833
RJFG,30.605,130.992
SBCY,-15.653,-56.116
SGES,-25.461,-54.849
SGAS,-25.248,-57.519
RJFK,31.803,130.719
RJFM,31.877,131.449
RJFO,33.479,131.737
SURV,-30.97,-55.474
RJFS,33.15,130.302
RJFU,32.917,129.914
RJKA,28.431,129.713
SBBR,-15.867,-47.933
RJKB,27.4322,128.7058
RJKI,28.321,129.928
RJNK,36.394,136.407
RJNS,34.796,138.189
RJNT,36.641,137.187
RJNW,37.293,136.962
RJOA,34.436,132.919
RJOB,34.757,133.855
RJAF,36.167,137.923
RJAH,36.182,140.415
RJBB,34.434,135.233
RJBD,33.662,135.364
RJBE,34.633,135.224
RJCB,42.733,143.217
RJCC,42.774,141.693
RJCH,41.77,140.822
RJCK,43.041,144.193
RJCM,43.881,144.164
RJCN,43.578,144.96
RJCO,43.117,141.381
RJCW,45.404,141.802
RJDB,33.749,129.785
RJDC,33.93,131.279
RJDT,34.288,129.325
RJEB,44.304,143.404
RJEC,43.671,142.447
LQBK,44.937,17.299
UUYY,61.647,50.845
TTCP,11.149,-60.836
TTPP,10.593,-61.348
SBBE,-1.379,-48.476
SBCF,-19.635,-43.966
UHMA,64.733,177.739
SGEN,-27.221,-55.834
SCEL,-33.393,-70.786
SBSJ,-23.229,-45.861
SBEG,-3.039,-60.05
UHWW,43.399,132.146
UMGG,52.525,31.015
SBBV,2.846,-60.69
SBMO,-9.511,-35.792
SBFZ,-3.776,-38.533
ORNI,31.99,44.405
MGGT,14.585,-90.526
SBPV,-8.708,-63.901
SVMI,10.603,-66.991
VOBZ,16.53,80.797
LFBA,44.176,0.593
LFBX,45.196,0.815
LFMI,43.516,4.935
LFRZ,47.312,-2.163
LKKV,50.202,12.91
LKMT,49.696,18.111
LKPR,50.101,14.26
LKTB,49.151,16.694
LFLY,45.726,4.938
LFMK,43.214,2.31
LFMU,43.322,3.353
LFOB,49.454,2.113
LFOK,48.777,4.165
LFPB,48.967,2.428
LFSB,47.614,7.51
HUEN,0.036,32.437
VEJS,22.813,86.169
VEGT,26.107,91.587
VELR,27.296,94.098
LFJL,48.982,6.251
LFKF,41.501,9.098
LFKJ,41.924,8.803
LFLS,45.363,5.329
LFSL,45.04,1.486
VOBM,15.861,74.617
LFBH,46.178,-1.193
LFLL,45.726,5.078
LFMN,43.658,7.216
LFPG,49.015,2.534
LFPO,48.717,2.384
LFQQ,50.562,3.089
LFOE,49.025,1.222
LFRL,48.279,-4.439
VAID,22.722,75.801
VIGG,32.165,76.263
LFPV,48.77,2.205
VERC,23.314,85.322
VEGY,24.744,84.951
VAAH,23.077,72.635
VANP,21.089,79.055
VEPY,27.228,88.587
VIBR,31.876,77.154
FQMA,-25.921,32.573
FQLC,-13.271,35.265
VOGA,15.7426,73.8631
VOTK,8.722,78.028
LFAC,50.962,1.955
LFAT,50.515,1.623
LFJR,47.562,-0.317
SBSG,-5.768,-35.376
LFPN,48.752,2.114
GMAG,29.031,-10.051
ORER,36.232,43.951
GMFM,33.875,-5.52
GMML,27.141,-13.23
LFCK,43.556,2.289
LFLP,45.93,6.106
LFLW,44.899,2.421
LFLX,46.87,1.741
LFOH,49.533,0.091
LFOP,49.383,1.182
GMFK,31.946,-4.399
GMMI,31.406,-9.687
GMMW,34.993,-3.025
GMMZ,30.939,-6.909
GMTN,35.594,-5.32
LFBI,46.584,0.309
LFBL,45.863,1.179
LFBO,43.621,1.379
LFBP,43.385,-0.416
LFKB,42.553,9.484
LFLB,45.637,5.883
LFML,43.438,5.216
GMAD,30.325,-9.413
GMFF,33.929,-4.976
GMFO,34.787,-1.924
GMME,34.051,-6.752
GMMN,33.367,-7.59
GMMX,31.607,-8.036
EPBY,53.0962,17.9949
EPKT,50.478,19.085
EPLB,51.239,22.714
EPMO,52.452,20.642
EPRA,51.39,21.211
EPSY,53.482,20.938
EPWR,51.1032,16.8998
LFSI,48.631,4.904
LFSO,48.583,5.955
LFSX,47.783,6.364
LFYR,47.32,1.688
LFLN,46.412,4.025
LFPM,48.611,2.68
SBSL,-2.585,-44.234
SCCI,-53.003,-70.855
EPKK,50.078,19.797
EPLL,51.724,19.401
EPPO,52.417,16.835
EPRZ,50.112,22.025
LFBC,44.533,-1.125
LFBG,45.665,-0.316
LFBM,43.912,-0.507
LFBE,44.826,0.516
LFMD,43.544,6.953
LFMH,45.533,4.293
LFOT,47.444,0.728
LFST,48.549,7.64
LFTH,43.094,6.146
LFTW,43.757,4.416
KLMS,33.15,-89.063
WSAP,1.36,103.909
SEMT,-0.946,-80.679
SESA,-2.205,-80.989
SERO,-3.435,-79.978
SECU,-2.889,-78.984
VRMH,6.744,73.171
VRMM,4.192,73.529
VRMG,-0.693,73.156
VGHS,23.846,90.4
HAAB,8.978,38.799
VHHH,22.309,113.922
SLLP,-16.511,-68.182
SLVR,-17.645,-63.135
SLCB,-17.421,-66.179
SBFN,-3.855,-32.423
SLTJ,-21.556,-64.701
SLAL,-19.247,-65.15
TBPB,13.075,-59.492
NTAA,-17.554,-149.607
LFVP,46.764,-56.169
GMFB,32.514,-1.978
UBBB,40.469,50.061
KOXD,39.5047,-84.7838
K3L4,29.8,-92.804
ORBI,33.263,44.235
KHHV,26.9392,-94.6886
MHLC,15.737,-86.864
ZBAA,40.082,116.603
UAAH,46.893,75.005
UACP,54.775,69.183
UADD,42.854,71.304
UAKD,47.711,67.739
UAKK,49.672,73.333
UAOO,44.707,65.593
UAUU,53.215,63.553
OEDF,26.45,49.817
YBAS,-23.795,133.889
YBRK,-23.375,150.477
YSRI,-33.601,150.777
EPGD,54.379,18.466
EPSC,53.585,14.902
EPWA,52.163,20.961
ZMUB,47.843,106.766
ZSAM,24.546,118.131
LFBD,44.831,-0.691
LFBZ,43.469,-1.534
LFKC,42.531,8.793
LFLC,45.787,3.169
LFRM,47.949,0.202
LDZA,45.729,16.054
LJLJ,46.218,14.477
LJMB,46.48,15.682
LYBE,44.824,20.291
LYNI,43.338,21.863
LYTV,42.405,18.723
LZIB,48.17,17.207
LFMT,43.577,3.963
LFRB,48.444,-4.412
RJOY,34.597,135.601
RJTO,34.782,139.36
RJFT,32.837,130.855
RJFR,33.846,131.035
NCRG,-21.203,-159.806
DAAG,36.691,3.215
DAAT,22.824,5.452
DAON,35.013,-1.457
DAOO,35.623,-0.624
GMMB,33.655,-7.221
YPAD,-34.952,138.52
SBCG,-20.469,-54.672
YBBN,-27.391,153.13
YPDN,-12.424,130.893
YMML,-37.666,144.832
YPPH,-31.927,115.976
YSSY,-33.946,151.173
YAMB,-27.63,152.711
YPEA,-31.667,116.019
YPTN,-14.523,132.383
YBTL,-19.248,146.766
YWLM,-32.794,151.836
UOOO,69.308,87.322
SELT,-0.921,-78.619
SBPJ,-10.291,-48.357
URKA,44.995,37.341
MHCA,14.875,-85.775
SCSE,-29.918,-71.201
SCQP,-38.925,-72.648
SCIE,-36.773,-73.063
SCIC,-34.966,-71.217
SCSN,-33.656,-71.615
SCIP,-27.161,-109.427
SCCH,-36.583,-72.031
URMT,45.108,42.1
SCCF,-22.496,-68.905
SCVM,-32.947,-71.479
SCPD,-33.1173,-70.6838
SCAT,-27.262,-70.774
URWA,46.286,47.995
URWI,46.374,44.331
SCAR,-18.351,-70.336
USCC,55.306,61.503
SCTE,-41.439,-73.094
SCDA,-20.535,-70.181
SCTN,-42.933,-72.699
SCFA,-23.45,-70.441
SCJO,-40.605,-73.061
SCPQ,-42.347,-73.718
SCFT,-43.189,-71.853
RPVD,9.334,123.297
LBIA,42.456,26.352
LBPL,43.453,24.504
LBSF,42.694,23.414
